Index,Address,GPR,Area,Dwelling Units,LRA,Height control,Max dwelling units,Road setback
33,38 STEVENS ROAD,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
34,381 PASIR PANJANG ROAD,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT4', '7.5m']"
35,448 @ EAST COAST, , , , , , , 
36,57 @ KOVAN,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
38,6 DERBYSHIRE, , , , , , , 
39,6 UPPER EAST COAST ROAD, , , , , , , 
40,62 CHANGI ROAD,4.2, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT2', '7.5m']"
41,7 ON CHAPEL,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
42,70@TRURO,1.4,"1,371.3 sqm",24,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m (3m)']"
43,71 WEST COAST HIGHWAY, , , , , , , 
44,72 GRANGE ROAD, , , , , , , 
45,8 @ WOODLEIGH, , , , , , , 
46,8 BASSEIN,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['BASSEIN ROAD', 'CAT5', '7.5m (3m)']"
47,8 EDEN GROVE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
48,8 FARRER SUITES, , , , , , , 
49,8 HULLET,Subject to detailed evaluation,997.1 sqm,1,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., 
50,8 NAPIER,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['NAPIER ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
51,8 NASSIM HILL,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['NASSIM HILL', 'NCAT', '7.5m (3m)']"
52,8 ORANGE GROVE ROAD, , , , , , , 
53,8 RAJA, , , , , , , 
54,8 SAINT THOMAS,2.8,"9,244.6 sqm",250,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['RIVER VALLEY ROAD', 'NCAT', '7.5m (3m)']"
55,833 M B RESIDENCES,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['MOUNTBATTEN ROAD', 'CAT5', '7.5m (3m)']"
56,8M RESIDENCES,2.1,"2,229.8 sqm",68,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
57,90 HOLLAND ROAD, , , , , , , 
58,91 MARSHALL, , , , , , , 
59,AALTO,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['MEYER ROAD', 'CAT5', '7.5m (3m)']"
60,ADAM GREEN,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
61,ADANA @ THOMSON,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['UPPER THOMSON ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
62,ADORA GREEN,2.8,"27,473.7 sqm",806,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Guideline on maximum allowable DUs is not applicable to HDB residential developments., 
63,ADRIA, , , , , , , 
64,AFFLUENCE COURT,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 3 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']"
65,AKYAB ROAD, , , , , , , 
66,ALBA,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['CAIRNHILL RISE', 'NCAT', '7.5m (3m)']"
67,ALESSANDREA, , , , , , , 
68,ALEX RESIDENCES,4.9,"6,501.4 sqm",429,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']"
69,ALEXANDRA ROAD, , , , , , , 
70,ALEXIS,3.0,0 sqm,0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 4 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ALEXANDRA ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
71,ALLSWORTH PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ULU PANDAN ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
72,ALOCASSIA APARTMENTS,Subject to detailed evaluation,"4,167.9 sqm",56,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['BUKIT TIMAH ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
73,ALPHA APARTMENTS, , , , , , , 
74,AMANINDA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
75,AMARANDA GARDENS,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']"
76,AMARYLLIS VILLE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 99m SHD,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m (3m)']"
77,AMBER 45,2.1,"6,490 sqm",139,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
78,AMBER PARK,2.8,"19,850.9 sqm",592,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['AMBER GARDENS', 'CAT5', '7.5m (3m)']"
79,AMBER POINT,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['AMBER ROAD', 'CAT5', '7.5m (3m)']"
80,AMBER RESIDENCES,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['AMBER ROAD', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
81,AMBER SKYE,2.8,"3,781.9 sqm",109,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['AMBER ROAD', 'CAT5', '7.5m (3m)']"
82,AMORE,3.0,"13,564.8 sqm",378,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
83,AMPAS APARTMENTS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
85,ANCHOR GARDENS,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,Guideline on maximum allowable DUs is not applicable to HDB residential developments.,"['ANCHORVALE LINK', 'CAT4', '7.5m (3m)']"
86,ANGULLIA PARK RESIDENCES @ ORCHARD,2.8,"1,562.6 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['ANGULLIA PARK', 'NCAT', '7.5m (3m)']"
87,ANGULLIA VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['', 'NCAT', '7.5m (3m)']"
88,APLETON VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['SINARAN DRIVE', 'NCAT', '7.5m (3m)']"
89,AQUARINE GARDENS, , , , , , , 
90,AQUARIUS BY THE PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BEDOK RESERVOIR ROAD', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
91,AQUENE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['JOO CHIAT PLACE', 'CAT5', '7.5m (3m)']"
92,ARC AT TAMPINES,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['TAMPINES AVENUE 8', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
93,ARCHIPELAGO,1.4,"45,622.9 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
94,ARDMORE 3, , , , , , , 
95,ARDMORE II,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['ARDMORE PARK', 'NCAT', '7.5m (3m)']"
96,ARDMORE PARK,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['ARDMORE PARK', 'NCAT', '7.5m (3m)']"
97,ARDMORE RESIDENCE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['ARDMORE PARK', 'NCAT', '7.5m (3m)']"
98,ARTHUR 118,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
99,ARTHUR MANSIONS,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
100,ARTRA,4.9,"8,398.5 sqm",400,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ALEXANDRA VIEW', 'CAT4', '7.5m (3m)']"
101,ASCENT @ 456,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 6 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
102,ASCENTIA SKY,4.9,"8,558.9 sqm",1,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ALEXANDRA ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
103,ASPEN HEIGHTS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 10 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['INSTITUTION HILL', 'NCAT', '7.5m (3m)']"
104,ASPEN LOFT, , , , , , , 
105,ASTON LODGE,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to non-residential developments., 
106,ASTON MANSIONS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m (3m)']"
107,ASTOR GREEN,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['PANDAN VALLEY', 'CAT5', '7.5m (3m)']"
108,ASTORIA PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
109,ASTRID MEADOWS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
110,ATHENA VILLE,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
111,ATRIUM RESIDENCES,2.8,81 sqm,0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['LORONG 30 GEYLANG', 'NCAT', '7.5m (3m)']"
112,AURA 83, , , , , , , 
113,AURALIS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG N TELOK KURAU', 'CAT5', '7.5m (3m)']"
114,AUSTVILLE RESIDENCES, , , , , , , 
115,AVA TOWERS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
116,AVALON,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['WALSHE ROAD', 'NCAT', '7.5m (3m)']"
117,AVENUE PARK, , , , , , , 
118,AVILA GARDENS,1.4,237.6 sqm,1,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['JALAN CHELAGI', 'CAT5', '7.5m (3m)']"
119,AVON PARK,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['YOUNGBERG TERRACE', 'CAT5', '7.5m (3m)']"
120,AXIS @ SIGLAP,1.4,"2,395.1 sqm",40,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['EAST COAST ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
121,AZALEA PARK CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['OLD TAMPINES ROAD', 'CAT5', '7.5m (3m)']"
122,BAGNALL COURT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
123,BALCON EAST,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
124,BALESTIER 288,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 6 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['WHAMPOA DRIVE', 'CAT4', '7.5m (3m)']"
125,BALESTIER MANSION,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
126,BALESTIER PLAZA,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['JALAN AMPAS', 'CAT5', '7.5m (3m)']"
